Frequency_Hz,PSD_V_P1,PSD_V_P2,PSD_V_P3,PSD_V_P4,PSD_V_P5,PSD_V_P6,PSD_V_P7,PSD_V_P8
3.8671875,6.81770589155726e-09,1.12718412078168e-06,2.85166575758158e-06,7.65085897179567e-06,5.33508560942672e-06,4.50324725964466e-06,3.68805314010664e-07,2.42765131602692e-10
3.984375,7.10511968091522e-09,1.24666238986952e-06,3.60865675069412e-06,5.25269461866332e-06,4.34069613392051e-06,3.8722321630345e-06,5.5754913340723e-07,1.29407218696182e-10
4.1015625,7.79067708660628e-09,1.30481549216713e-06,4.9427462396902e-06,3.36893024188786e-06,4.14874621975664e-06,3.29731264722105e-06,8.44215293916225e-07,8.55432593087306e-11
4.21875,8.53203079886859e-09,1.17738068770946e-06,5.50759005388823e-06,4.04872642104086e-06,4.54877205139741e-06,2.35490152243794e-06,9.19931425028883e-07,1.77865670914937e-10
4.3359375,9.17092698279543e-09,8.78909213408279e-07,5.08847085736016e-06,6.77302306496086e-06,5.17469045388422e-06,1.72331043699339e-06,7.26788161821314e-07,3.52516813300556e-10
4.453125,1.02768106021064e-08,6.41714659986816e-07,4.70995140872655e-06,8.02692234231827e-06,5.4177056382746e-06,2.12236551941539e-06,6.30707863521099e-07,4.74752707523422e-10
4.5703125,1.15273593055504e-08,5.28697322780186e-07,4.84157490318407e-06,5.91088913049575e-06,5.27252330862122e-06,3.6887982856057e-06,7.3659561376107e-07,4.8117274161157e-10
4.6875,1.26064403281489e-08,5.12444596262453e-07,5.23482290132984e-06,3.74847995405703e-06,5.48499427195676e-06,6.28634234736299e-06,7.00984699018018e-07,4.17723668696347e-10
4.8046875,1.3913635081233e-08,6.87329298889371e-07,6.16489015697259e-06,6.71425173271037e-06,7.58570494002019e-06,9.77894012515281e-06,4.95308924612823e-07,3.55239362590835e-10
4.921875,1.50631731396144e-08,1.0361444868171e-06,7.85938253923278e-06,1.30957520720006e-05,1.11164711278141e-05,1.34553776067403e-05,4.26956259842851e-07,3.08370057414175e-10
5.0390625,1.55137501191643e-08,1.34958369695505e-06,8.35534722250871e-06,1.4348225608295e-05,1.18589146236864e-05,1.47378836670846e-05,4.90833756038038e-07,2.5934854999557e-10
5.15625,1.52335182325148e-08,1.50187178831805e-06,6.5925066791237e-06,8.10371129555865e-06,8.39299616871442e-06,1.22088551278576e-05,5.71698727637971e-07,2.27760460975054e-10
5.2734375,1.41551727993492e-08,1.47911889608987e-06,4.52609747787711e-06,2.40969643618849e-06,4.44770753837522e-06,8.54379965847278e-06,8.35988755242985e-07,2.45916756570406e-10
5.390625,1.25603279285893e-08,1.26460098699232e-06,2.96668229553185e-06,2.4507176230594e-06,2.32980285321079e-06,6.26351991875302e-06,1.28291431973337e-06,2.7311260982811e-10
5.5078125,1.09804028903775e-08,9.80901701294741e-07,1.53549570930985e-06,4.29903981097892e-06,1.44386878843114e-06,5.1425544663697e-06,1.49930526693589e-06,2.61288231339538e-10
5.625,1.00456104763789e-08,8.3245620874617e-07,9.96642344971265e-07,4.23055890818297e-06,1.3457020537208e-06,4.92365474621798e-06,1.35585153480392e-06,2.4711574511885e-10
5.7421875,1.01883501639966e-08,8.45046925635946e-07,1.57966781639814e-06,3.15917253045848e-06,2.05925069265001e-06,5.21197832038527e-06,1.29888961707416e-06,2.70658645321734e-10
5.859375,1.10464767539639e-08,9.4385333294327e-07,2.20306640989393e-06,2.61563860909443e-06,3.22566922982422e-06,5.01805903294268e-06,1.50632807758013e-06,3.19813284258961e-10
5.9765625,1.22642961995987e-08,1.07054531271837e-06,2.20560565659378e-06,2.84659225272947e-06,4.16867989273432e-06,4.67646278867394e-06,1.54576008803657e-06,3.54169880336943e-10
6.09375,1.36118353819242e-08,1.11880123733911e-06,2.3664041599664e-06,3.57414970911191e-06,4.43372586665677e-06,5.05870755646543e-06,1.18667351079434e-06,3.56550053918917e-10
6.2109375,1.44335931866631e-08,1.02529645628585e-06,3.43378087728073e-06,4.35407370763611e-06,3.98359831586921e-06,5.91402904330015e-06,7.46098829876294e-07,4.09793583687403e-10
6.328125,1.4283635908909e-08,8.70425182589116e-07,4.35400870077746e-06,4.48103634228368e-06,3.36457345291827e-06,6.30530644252217e-06,5.29926368520589e-07,5.69355265610881e-10
6.4453125,1.33412584770957e-08,7.50504278275049e-07,3.9083367226139e-06,4.37540041330999e-06,3.29429786395788e-06,5.48884448717372e-06,4.93854939801524e-07,7.03511253043392e-10
6.5625,1.22096223425716e-08,6.87090300420379e-07,2.77257323364154e-06,5.30933602140215e-06,3.81954665030662e-06,3.74997913322852e-06,4.81111557327473e-07,6.69408059083212e-10
6.6796875,1.13265106089215e-08,6.7137886271213e-07,1.98960320409313e-06,6.1568215649789e-06,4.62928901632385e-06,2.49903514284678e-06,4.68071273635009e-07,5.34469305144815e-10
6.796875,1.06815130864939e-08,6.8217990805626e-07,1.57763064243782e-06,5.09949520550544e-06,5.30098361213885e-06,2.50604572311163e-06,4.49337917269206e-07,4.74276157346657e-10
6.9140625,1.02004956452782e-08,7.07480499425055e-07,1.62575598078558e-06,3.64117957201051e-06,5.05991856883354e-06,2.96517115798625e-06,3.85298738132187e-07,4.88546750722209e-10
7.03125,9.71226858992366e-09,7.43699780100353e-07,2.2018611681809e-06,3.72827835327681e-06,4.03590979947951e-06,3.48042868079542e-06,3.83764443820436e-07,4.32496893448087e-10
7.1484375,9.0057397473255e-09,7.33474887573224e-07,2.33852919761935e-06,4.52914238471219e-06,3.55457632886907e-06,4.50350210943279e-06,5.42769718386691e-07,3.15268060108479e-10
7.265625,8.06180748218799e-09,6.22660556504537e-07,1.45238217570289e-06,4.88532929361588e-06,3.94349745437289e-06,5.41598988508171e-06,6.83679475078378e-07,2.49613535750842e-10
7.3828125,7.02725076273888e-09,4.63648583276042e-07,5.64398900166982e-07,4.67464485865666e-06,4.45387381268408e-06,5.24556789018241e-06,6.08669877418505e-07,2.65589916180541e-10
7.5,6.28085358976501e-09,3.41245233379287e-07,5.45402149736099e-07,3.74457753990096e-06,4.54784676017526e-06,4.51362275942314e-06,4.1116867690226e-07,3.37916192838982e-10
7.6171875,6.10779051726532e-09,2.8204335424998e-07,9.67828582847112e-07,2.32324469867321e-06,4.26905426048459e-06,4.12144432604641e-06,3.01575240925963e-07,4.10444095827182e-10
7.734375,6.43290701960776e-09,2.7029802381401e-07,1.1891787889744e-06,1.29705862728212e-06,4.59640551035492e-06,3.80189730727899e-06,3.19351350923348e-07,4.40933309352459e-10
7.8515625,7.06902473963994e-09,2.80176268248484e-07,1.10683428631379e-06,1.15199842264652e-06,5.35830402249795e-06,3.09827972729479e-06,3.86791900257384e-07,4.42997967789587e-10
