Probe,X_pixel,Y_pixel,MeanU,MeanV,MagnitudeOfMeanVelocity,MeanSpeedMagnitude,Urms,Vrms,uu,vv,uv,TKE2D,TurbulenceIntensity_percent,SkewnessU,KurtosisU,SkewnessV,KurtosisV,IntegralTimeU_s,IntegralTimeV_s,DominantFrequencyU_Hz,DominantFrequencyV_Hz
1,130,200,-8.02705569471101e-05,6.61234668818537e-05,0.000103998438378059,0.000192629452135461,0.000740422697972636,0.000499117556838663,5.48225771673077e-07,2.49118335544595e-07,-2.3278685213367e-07,3.98672053608836e-07,858.610265147754,-11.6840470622765,157.557048776842,8.00738706977612,72.911910392787,0.0832313664177788,0.126533993390549,0.46875,0.3515625
2,180,200,-0.000363212027803035,0.00129098748166687,0.00134110836809013,0.001563249282909,0.0016445040190286,0.00416577694308918,2.7043934686012e-06,1.73536975395734e-05,-3.4092591615794e-06,1.00290455040873e-05,333.949599037546,-4.21654840879606,28.8511625053868,4.24917687433242,22.7233574919065,0.0820805479712177,0.0988917103179003,0.9375,0.234375
3,230,200,-0.000657082061825253,0.00497970646559795,0.0050228710235771,0.00538922100748481,0.00275247608983706,0.00813248044977492,7.57612462512471e-06,6.61372382659713e-05,-3.58905801955754e-06,3.6856681445548e-05,170.931099333949,-1.55050426880262,10.8680689014035,1.95534509319037,6.79151140393634,0.0549106803372976,0.150020718409467,0.1171875,0.1171875
4,280,200,-0.000982754266072951,0.00885087548778931,0.00890526826366473,0.00936881728524645,0.00300414234911957,0.0101976796334623,9.02487125377363e-06,0.000103992669906733,-8.53706207898032e-06,5.65087705802531e-05,119.378445800243,-0.473440310425527,5.23703776644921,1.19272577289725,3.77310095418168,0.0437381597758803,0.0787645428158474,0.3515625,0.1171875
5,330,200,-8.27866566514679e-06,0.00871716704973999,0.00871717098085026,0.0091942107256719,0.00256304917636656,0.011094217247046,6.56922108047331e-06,0.000123081656324652,-5.64048327100012e-07,6.48254387025628e-05,130.620747770128,-0.297358018881419,6.30114359377265,1.61381059013551,5.50288999149311,0.030820888727722,0.0484411696585734,1.7578125,0.1171875
6,380,200,0.000326754543707307,0.00669490079481313,0.00670286992147564,0.00716235197497441,0.00260976086151289,0.0102252956912282,6.8108517542845e-06,0.000104556671973051,3.03683991230597e-06,5.56837618636677e-05,157.441235872289,1.05730037200708,11.4254031408591,1.80624006973565,6.2393809217241,0.0308246373778838,0.106672666878918,2.4609375,0.1171875
7,430,200,0.000184237091954621,0.00134636444776502,0.00135891152480855,0.00162191855209976,0.00136240604696032,0.00402756611583087,1.85615023679406e-06,1.6221288817389e-05,1.72052552686006e-06,9.03871952709151e-06,312.879616878051,4.88437850139272,47.8451802131552,3.8795932348643,18.8569424660508,0.0446058393432887,0.109741617673125,0.5859375,0.46875
8,480,200,3.42035324418827e-06,4.83023183275203e-06,5.91861097498056e-06,6.33714073165416e-05,5.61438560314789e-05,6.66865641311169e-05,3.15213257008342e-09,4.44709783561357e-09,3.61466190101469e-10,3.79961520284849e-09,1472.87201678782,0.183159615695814,6.86509682268199,1.0925943562443,9.0458138612061,0.0142138682147753,0.0158053780241483,11.953125,3.515625
