Time_s,OriginalFrame,U_P1,V_P1,Speed_P1,U_P2,V_P2,Speed_P2,U_P3,V_P3,Speed_P3,U_P4,V_P4,Speed_P4,U_P5,V_P5,Speed_P5,U_P6,V_P6,Speed_P6,U_P7,V_P7,Speed_P7,U_P8,V_P8,Speed_P8
0.0333333333333333,2,-2.79106377996504e-05,5.4427711351309e-06,2.84363756483257e-05,2.35926284728339e-05,2.645004440099e-05,3.54431512012055e-05,3.19641619641334e-05,0.00018142500847578,0.000184219275187225,-0.00983642563819885,0.0231034903335571,0.0251102874322176,0.000986294229626656,0.029513142414093,0.0295296182071819,0.000338838699990883,0.011816852645874,0.0118217096106659,0.00195041043519974,0.00277793161064386,0.00339426058209302,-0.000122498681999277,-7.07405895553529e-05,0.000141457265992946
0.0666666666666667,3,6.90354922553524e-07,2.6285512894392e-05,2.62945769701728e-05,1.16185891488567e-05,-3.24784459546208e-05,3.44940729029953e-05,-0.000107904723845422,2.06478092819452e-05,0.000109862466094205,0.00492489284992218,0.0218440187072754,0.0223923139239117,0.00205303955733776,0.0251712473487854,0.0252548344781297,-0.00342406206004322,0.017896438293457,0.0182210511382451,-0.00213698406457901,0.0105221236395836,0.0107369356326164,0.000236960458606481,2.40694244485348e-05,0.000238179755932946
0.1,4,-1.77523755922448e-05,5.10481373174116e-06,1.84717612155393e-05,-4.63462257385254e-05,-5.89082337543368e-05,7.4954337061053e-05,-0.000111864197384566,1.07124820566969e-05,0.000112375957963918,0.00822290963172913,0.0147885563850403,0.0169209232243722,-0.00238616726517677,0.0215709175300598,0.0217024947254007,-0.00597354930639267,0.0169128106498718,0.0179367348030326,-0.00174336152672768,0.0042624715679884,0.00460521153485741,4.16697980090976e-05,5.87338818982244e-05,7.20141718618881e-05
0.133333333333333,5,-9.73407830984797e-06,-1.61407237965614e-05,1.88487465158597e-05,7.11411643680185e-05,-5.02817472629249e-05,8.71166997506797e-05,-6.68424914893694e-05,1.77506920415908e-06,6.68660567043248e-05,0.00162860005572438,0.000735106769800186,0.00178681843076221,0.00111342175807804,0.00682462327480316,0.00691485291632054,-0.00993562894821167,0.0261547837257385,0.0279783744048274,-0.000203182277418673,0.000297778999060392,0.000360493231751232,-4.2184129524976e-05,-6.55446653813124e-05,7.79461605451363e-05
0.166666666666667,6,-2.77997720226995e-05,-1.58184744114988e-05,3.19851755852818e-05,7.81996902823448e-05,-8.56844961410388e-06,7.86677182142974e-05,3.74971348070539e-05,9.65837598592043e-05,0.000103607228450909,-0.000155707882996649,0.00156778808356728,0.00157550132332628,-0.0060933781671524,0.0189852153682709,0.0199390987777171,-0.00733791015386581,0.0187930922055244,0.0201748665440828,1.40452572342474e-05,-7.2409235984087e-05,7.37588415484908e-05,-6.59236736653838e-06,-3.04456681385636e-05,3.11512121096266e-05
0.2,7,-3.80438635549041e-09,4.13390567918448e-09,5.61805408537825e-09,5.43199905789216e-11,-7.78837290766888e-10,7.80729266049121e-10,2.04539409289282e-06,-8.25954926440317e-07,2.20586457783606e-06,2.39831761435198e-06,3.77024878907832e-07,2.42777164054333e-06,5.94062977703288e-06,-0.000247009544670582,0.000247080971020668,-2.8667336194776e-05,-2.58093345060479e-05,3.85737982593028e-05,-1.39373352794792e-08,5.37920124479569e-07,5.38100650096994e-07,3.10630524385488e-06,2.62410615061526e-06,4.06633315871894e-06
0.233333333333333,8,-3.10417218133804e-08,-2.25366521347314e-05,2.25366735129741e-05,1.26140894880518e-05,-0.000204927201792598,0.000205315058600573,1.23786068278423e-05,-2.00946130114608e-05,2.36013427388925e-05,0.000346424668896943,0.0013041092980653,0.00134933728641906,-0.000837133176326752,0.0407254465484619,0.040734049498258,0.0011789478494972,0.000452269481197,0.00126272155103818,-6.46342523396015e-05,8.88747135177255e-05,0.00010989222574121,2.85452775307931e-05,1.81516474609816e-05,3.3827727899724e-05
0.266666666666667,9,-3.52901667065453e-06,3.42504876293242e-05,3.44318146705666e-05,1.40707965911133e-05,-1.4544557207264e-05,2.02368836796544e-05,-1.18437081415323e-05,2.83153651468456e-05,3.069256141056e-05,-0.000832687492473051,0.000239034730391577,0.000866317529809036,-0.00128940738916397,0.044118475112915,0.044137313213472,-0.000308481487110257,0.00147081257656217,0.00150281418121576,-7.16522956453264e-05,4.30885075510014e-05,8.361023235357e-05,-2.22612477885559e-05,1.00431292480789e-05,2.44218672135671e-05
0.3,10,1.46642527717631e-05,-8.2434076233767e-06,1.68224278449725e-05,-3.13172621000558e-05,-3.04851289128419e-05,4.37048508780911e-05,-2.09912359924056e-05,-0.000153549934253097,0.000154978109091636,-0.00350241261005402,0.0118155331420898,0.0123237055110421,-0.00583018286705017,0.0397656327438354,0.0401907524162069,-0.00117360910177231,0.00253650970101357,0.00279485952904591,1.39492899400648e-05,-8.04194160550833e-05,8.1620249745223e-05,1.34041819800041e-05,-1.70506093231961e-05,2.16886000665172e-05
0.333333333333333,11,1.19877506210469e-05,7.78346144099487e-06,1.4292950603562e-05,3.62432110210648e-06,1.46952454600978e-06,3.91090856994888e-06,-1.69534662016667e-05,-3.00871329498477e-06,1.72183730922081e-05,-0.0106343834781647,0.0326491386795044,0.0343373902397106,0.000697717693895102,0.00761651000976562,0.00764840079423367,-0.00242817991733551,0.00403727380871773,0.00471122463033866,-1.25927863887046e-05,2.05937947891653e-05,2.41388204527436e-05,-4.44177082157694e-06,6.82472646076349e-06,8.14286308958082e-06
