Lag_s,ACF_U_P1,ACF_U_P2,ACF_U_P3,ACF_U_P4,ACF_U_P5,ACF_U_P6,ACF_U_P7,ACF_U_P8
0,1,1,1,1,1,1,1,1
0.0333333333333333,0.720181184341848,0.514852031433678,0.423628221632589,0.254073464553618,0.218547723895169,0.345408019783953,0.483352567607054,-0.147167907113483
0.0666666666666667,0.372411507273437,0.380432900011601,0.189709009213848,0.0344050344612567,0.199468746228914,0.158662203105121,0.268415036897047,-0.138381767617933
0.1,0.217212815639234,0.406884118493601,0.0833238186432784,0.0796256900694456,0.0132203834151543,-0.00920528488190676,0.0805179232528336,-0.0572386986961464
0.133333333333333,0.247704539376972,0.348002311884303,0.141038739309009,0.0616672761301841,-0.0352234472093796,-0.0755643492065356,0.01177930508345,-0.0935718036027142
0.166666666666667,0.210881854955426,0.150109298489771,0.110377462868879,0.0474807473903484,-0.0152360512922804,0.00184713081073581,-0.0347875491018437,0.00608516213805149
0.2,0.1461017654812,0.14287205049695,0.176924223401516,0.00176186369759559,-0.0775835195602086,-0.0422510016649253,0.00973236430889007,0.0187643357365927
0.233333333333333,0.0819456322321095,0.0385274566532538,0.0446378700996134,0.061190124225527,-0.0615517247246636,-0.0274518324501379,-0.0239439456709629,0.0560535402202969
0.266666666666667,0.00100338646627261,-0.0577606071178498,-0.00711619566064529,0.0476443875503338,-0.0907641229208948,-0.0714330942132443,0.00435997982250906,-0.000378478934627003
0.3,-0.0205245224284317,-0.0413852265234986,-0.0638213085767615,0.0592527718515748,-0.0901065229216616,-0.0889120138029768,-0.0431305712146626,-0.11106037999722
0.333333333333333,-0.0207281626453284,-0.0375627509317028,-0.0343135339888409,0.0692015283085066,-0.0219047310168664,0.00715105728424933,-0.0147128529354962,0.0643927617396987
0.366666666666667,-0.0128228351587872,-0.0569915603094525,-0.0208389897677655,0.0661808568679183,-0.082300897603668,0.00954060306338029,-0.00360010880842237,0.0233294319217783
0.4,-0.0155879224011858,-0.0638145200612966,0.0391074080116671,0.0197863713382797,-0.0157238773906123,0.134112966874758,-0.029318283956929,0.00339952700759978
0.433333333333333,-0.0101009906108523,-0.103421896607069,0.0438590035838006,0.0197493536636409,-0.00553785325712279,0.0825856451643921,-0.0285598690962901,-0.00291921759381425
0.466666666666667,-0.00720191601730725,-0.13163600075617,0.0212961340664318,-0.000253757014194415,0.0737187614460121,0.0366118279334819,-0.0183431308813416,0.0356282137929453
0.5,-0.0106204685405922,-0.101297991985923,-0.00339307769970753,0.028610748327134,0.0183535270386367,0.0117013598282014,-0.0420152279787551,0.0717947770972186
