Lag_s,ACF_V_P1,ACF_V_P2,ACF_V_P3,ACF_V_P4,ACF_V_P5,ACF_V_P6,ACF_V_P7,ACF_V_P8
0,1,1,1,1,1,1,1,1
0.0333333333333333,0.768088322357661,0.646869184314326,0.490909563555833,0.320640776483728,0.321589559112509,0.419009366428903,0.522332395719224,-0.0516773185511032
0.0666666666666667,0.629024942959745,0.463032939175935,0.41150498191925,0.147661259098349,0.191980070950725,0.259562030827592,0.349377533754426,-0.082421960008592
0.1,0.524832191202933,0.40767215708751,0.349772427935595,0.125606751000765,0.167502964591304,0.233731923523716,0.283901584762777,-0.100470198008488
0.133333333333333,0.496294632871161,0.319041587331414,0.200401680828665,0.0496851489900842,0.152039144937294,0.193169274484705,0.256450584720047,0.0592672510952228
0.166666666666667,0.367139992991547,0.304177021794602,0.213624254444087,0.0148651608685565,0.0326533072614536,0.206061908604495,0.223717399451276,-0.0510710168832611
0.2,0.282812857809752,0.226493077116132,0.285186544182847,0.242550279578365,0.174940085807831,0.295989228644181,0.289125571581365,0.0178549029401185
0.233333333333333,0.142008471572607,0.0920997552786109,0.0736518507205275,0.0754216422340036,-0.0583381324785234,0.0909055794352998,0.105959645629457,-0.013909253152492
0.266666666666667,0.0744287582679956,0.00653514247021904,0.0974532431490002,0.0889801069897376,0.0099375361064064,0.117497781328186,0.0982498915705604,0.0234811293842745
0.3,0.0227792633661303,0.00166088993651877,0.107833349955457,0.190929002729184,0.0388916641577095,0.075607334194354,0.138832804018351,0.0533865553508414
0.333333333333333,-0.00736126265969662,-0.0122282526253199,0.0440951287855363,0.150868118597982,-0.0320247504189395,0.0973922935443969,0.150336621467772,-0.0248188384119598
0.366666666666667,-0.0136369229289416,-0.019250687011891,0.00806334941421893,0.0552810525564497,-0.0400393225674798,0.0758822302983396,0.143605672922153,-0.0311289155871135
0.4,-0.0169291367386321,0.0135273664520276,0.161999468593096,0.309679107390083,0.180248241776193,0.199507274884872,0.115422249616485,0.000318483191386285
0.433333333333333,-0.0126767196627792,0.0444198880014776,0.0406566773512446,0.0770754696135063,0.0409873149105513,0.0601997442315321,0.0452315051969025,-0.067146913574061
0.466666666666667,-0.0069195864794325,0.0661720106862599,0.0798129971396586,0.0273848166892608,0.027033711211127,0.0408813702615337,0.0160842746199829,0.0903416988895803
0.5,-0.00761270333916589,0.142977689510314,0.0849967888066063,-0.0106562621642444,0.115580032496291,0.00317608801479352,0.0513379471048658,0.0361204815911582
0.533333333333333,-0.0175431762891382,0.133005230851247,0.0415985621721456,-0.00439214005500803,0.0678920581558047,0.122372561153804,0.004565696116236,-0.0244614430619696
0.566666666666667,-0.00742850731337301,0.140718448982599,0.0566916635302379,-0.0078515980557856,0.0118819481671551,0.0570463534646224,-0.0309793274365982,-0.00540152955297705
0.6,0.0030884013586707,0.199816394972609,0.176406060219476,0.185745199003931,0.118849144484842,0.132899611339266,-0.0129666045130344,0.124325572888601
0.633333333333333,0.000867488103486681,0.0855243809605294,0.0814990144524464,0.0049225722560057,-0.0383343447315423,0.0385761034059184,-0.0240637152732556,0.0324945747028134
0.666666666666667,-0.0162200258616795,0.112704757271567,0.101932608103544,-0.0203064697065627,-0.0177626038676477,-0.00588357259734641,0.0128346834660593,0.00664242865493063
