Probe,Re,Fr,Ri
1,0.0901319799276507,0.000852603759681843,1375642.27340441
2,1.16229391901144,0.0109947231382242,8272.39768788617
3,4.35315488710016,0.0411786829291693,589.732546034437
4,7.71789916184277,0.0730074924295963,187.613953753875
5,7.55488151673689,0.0714654264811581,195.797895904551
6,5.80915393194556,0.0549517106683228,331.159765618362
7,1.17772332150074,0.011140677621667,8057.06348371504
8,0.00512946284498315,4.85221706023933e-05,424736475.65739
