Lag_s,Correlation_U_P1_P2
-14.8,1.21957458261039e-05
-14.7666666666667,5.35839235825871e-05
-14.7333333333333,0.000105751440105001
-14.7,0.000146657775353953
-14.6666666666667,0.000193347541177183
-14.6333333333333,0.000228620236193668
-14.6,0.00027411386184763
-14.5666666666667,0.00033662533339637
-14.5333333333333,0.000391927794432032
-14.5,0.000468537416766666
-14.4666666666667,0.000521063879167881
-14.4333333333333,0.000575705914752413
-14.4,0.000632783057274202
-14.3666666666667,0.000676894742821807
-14.3333333333333,0.000724314799373525
-14.3,0.000796193100211762
-14.2666666666667,0.000853312689027844
-14.2333333333333,0.000908079592466289
-14.2,0.000956060424794088
-14.1666666666667,0.00102285011167896
-14.1333333333333,0.00107388020878441
-14.1,0.00112281088718071
-14.0666666666667,0.00113710493696863
-14.0333333333333,0.00120566515947174
-14,0.00130819934024819
-13.9666666666667,0.00133688324739662
-13.9333333333333,0.00138101118404019
-13.9,0.00144796968789171
-13.8666666666667,0.00148426832857322
-13.8333333333333,0.00155200576174536
-13.8,0.00160271082932697
-13.7666666666667,0.00166976124341712
-13.7333333333333,0.00175109770247067
-13.7,0.00182956757953458
-13.6666666666667,0.00186583498082673
-13.6333333333333,0.00188261386384071
-13.6,0.00193775053146876
-13.5666666666667,0.00204060773914495
-13.5333333333333,0.00203470828247441
-13.5,0.00198241108235473
-13.4666666666667,0.00204581598308223
-13.4333333333333,0.0021196504178604
-13.4,0.00214587545046762
-13.3666666666667,0.00233460559530881
-13.3333333333333,0.00225089482134572
-13.3,0.00235312450399264
-13.2666666666667,0.00244302931473705
-13.2333333333333,0.00241271312012271
-13.2,0.00251470760641807
-13.1666666666667,0.00249675418584435
-13.1333333333333,0.00263849559427303
-13.1,0.00269094044373747
-13.0666666666667,0.00269984879429748
-13.0333333333333,0.00273097721182872
-13,0.0028622116809602
-12.9666666666667,0.00288909500448912
-12.9333333333333,0.00293172910494063
-12.9,0.00304022745136377
-12.8666666666667,0.00304457751200639
-12.8333333333333,0.0031479153766366
-12.8,0.00323422939971088
-12.7666666666667,0.0030720425524564
-12.7333333333333,0.00298614742099822
-12.7,0.00342511299596197
-12.6666666666667,0.00322295573797732
-12.6333333333333,0.00353168777127882
-12.6,0.0036653246751306
-12.5666666666667,0.00355690404339752
-12.5333333333333,0.00382664606412904
-12.5,0.003684139042756
-12.4666666666667,0.00370003437169887
-12.4333333333333,0.00355222540023054
-12.4,0.00390525540472618
-12.3666666666667,0.0036741926314415
-12.3333333333333,0.0039420810933014
-12.3,0.00389038670097632
-12.2666666666667,0.00389684232132446
-12.2333333333333,0.00406768257205758
-12.2,0.00425826914616044
-12.1666666666667,0.00401692265602166
-12.1333333333333,0.00386153601247405
-12.1,0.00435713896777297
-12.0666666666667,0.00431673136685123
-12.0333333333333,0.00421691246237203
-12,0.00429717937726484
-11.9666666666667,0.00432219606993127
-11.9333333333333,0.00452502531643756
-11.9,0.00456547607732546
-11.8666666666667,0.00469808533854922
-11.8333333333333,0.00492964622965555
-11.8,0.00527065754528991
-11.7666666666667,0.00475169033732028
-11.7333333333333,0.00506242126745944
-11.7,0.00466334707075946
-11.6666666666667,0.00519589520213758
-11.6333333333333,0.00539281330745445
-11.6,0.00516436625491877
-11.5666666666667,0.00540800030121551
-11.5333333333333,0.00567288140556221
-11.5,0.00547884356568953
-11.4666666666667,0.00555674437708292
-11.4333333333333,0.00557558673077272
-11.4,0.0053187289888026
-11.3666666666667,0.00538538947174746
-11.3333333333333,0.00583966979588343
-11.3,0.00569769487324338
-11.2666666666667,0.00598056747392006
-11.2333333333333,0.005943421039839
-11.2,0.00589935871776773
-11.1666666666667,0.00592590772057761
-11.1333333333333,0.00579025057395859
-11.1,0.00563255087725774
-11.0666666666667,0.00596312036361257
-11.0333333333333,0.00594526810206069
-11,0.00564676377363237
-10.9666666666667,0.00587486059408867
-10.9333333333333,0.00618869127009622
-10.9,0.00603773493015327
-10.8666666666667,0.00658411282099488
-10.8333333333333,0.00654383598071826
-10.8,0.00645206923433382
-10.7666666666667,0.007118564943076
-10.7333333333333,0.0073445475468781
-10.7,0.0076231296073731
-10.6666666666667,0.00828384396581244
-10.6333333333333,0.00795129350851715
-10.6,0.00794058772886226
-10.5666666666667,0.00807748841721341
-10.5333333333333,0.00831724193772236
-10.5,0.00858918235106611
-10.4666666666667,0.0084109451336086
-10.4333333333333,0.00825012745346701
-10.4,0.00739917264722207
-10.3666666666667,0.00770248266147328
-10.3333333333333,0.00688913947041501
-10.3,0.00763124912835346
-10.2666666666667,0.00762301550609523
-10.2333333333333,0.0059017752953771
-10.2,0.00562547025227104
-10.1666666666667,0.00533001451099357
-10.1333333333333,0.00507668294995708
-10.1,0.00393514438129736
-10.0666666666667,0.00329114319417048
-10.0333333333333,0.00219697395856334
-10,0.00230027169938117
-9.96666666666667,0.00237117690145404
-9.93333333333333,0.00218273013984568
-9.9,0.00247520335807522
-9.86666666666667,0.00264744627790541
-9.83333333333333,0.00322939928003941
-9.8,0.00205900829738955
-9.76666666666667,0.00213281017571785
-9.73333333333333,0.00271830733203952
-9.7,0.00303100493718866
-9.66666666666667,0.00241945877897374
-9.63333333333333,0.00246935751659839
-9.6,0.00209409932524595
-9.56666666666667,0.00245909268638024
-9.53333333333333,0.00211217617169221
-9.5,0.00292263464784314
-9.46666666666667,0.00230442813090934
-9.43333333333333,0.00174932301783477
-9.4,0.00357852305689861
-9.36666666666667,0.00148296385254225
-9.33333333333333,0.0037265390803075
-9.3,0.00466551182379399
-9.26666666666667,0.000972972623825518
-9.23333333333333,0.000820488455992922
-9.2,0.00161090936334519
-9.16666666666667,0.00240091990827209
-9.13333333333333,0.0016132585782058
-9.1,0.00176179271270733
-9.06666666666667,0.002399364835824
-9.03333333333333,0.00127428941173131
-9,0.00542660868738272
-8.96666666666667,0.00569151952570579
-8.93333333333333,0.0019460687181814
-8.9,0.00481423242183471
-8.86666666666667,0.0042774178141719
-8.83333333333333,0.0027751951664142
-8.8,0.00478462910248934
-8.76666666666667,0.00302729785285508
-8.73333333333333,0.00212585154844906
-8.7,0.00176893476844695
-8.66666666666667,0.00255324850861659
-8.63333333333333,0.00509254162080116
-8.6,0.00667966153250641
-8.56666666666667,0.00308642977197983
-8.53333333333333,0.00301859186396288
-8.5,0.00583547719896083
-8.46666666666667,0.00434498309571214
-8.43333333333333,-0.000658247594596993
-8.4,-0.000753878688278456
-8.36666666666667,0.00264557941203376
-8.33333333333333,0.00185860000217748
-8.3,0.00255509857900098
-8.26666666666667,0.0029721595513539
-8.23333333333333,0.0056681538652908
-8.2,0.00516192902258423
-8.16666666666667,0.00324540138993207
-8.13333333333333,0.00514722854107536
-8.1,0.00679399264273962
-8.06666666666667,0.00131713656924141
-8.03333333333333,0.000303940830088624
-8,0.0037621160912948
-7.96666666666667,0.00621301640985814
-7.93333333333333,0.00486970327522595
-7.9,-0.00123906252466792
-7.86666666666667,0.00257811303966721
-7.83333333333333,0.0126743524891413
-7.8,0.0100783014050096
-7.76666666666667,0.00672707039033657
-7.73333333333333,0.00585477457575879
-7.7,0.00576304061951579
-7.66666666666667,0.00266933674893716
-7.63333333333333,0.00415005841443715
-7.6,0.000367517152672726
-7.56666666666667,-0.00320882634339606
-7.53333333333333,-0.00089949221893418
-7.5,0.000344713450681372
-7.46666666666667,0.00218641433778189
-7.43333333333333,0.00433427835297189
-7.4,0.000743288163842357
-7.36666666666667,-0.00343408113017311
-7.33333333333333,-0.00291386959614962
-7.3,-0.00036796110376009
-7.26666666666667,0.0058224929272259
-7.23333333333333,0.000292210119226065
-7.2,-0.00952954742027831
-7.16666666666667,-0.00715985662731042
-7.13333333333333,-0.000892166000878802
-7.1,-0.00415741325327898
-7.06666666666667,-0.00180872865486914
-7.03333333333333,0.00331245408618269
-7,0.000594252618147513
-6.96666666666667,0.000741142903996304
-6.93333333333333,0.00477542525349632
-6.9,0.00209846967928336
-6.86666666666667,0.0033007996178759
-6.83333333333333,0.00109581239500053
-6.8,-0.00346816913759588
-6.76666666666667,-0.00225649148134197
-6.73333333333333,0.00152491714121526
-6.7,0.000132297247744239
-6.66666666666667,0.00274223637878969
-6.63333333333333,0.00610133268068381
-6.6,0.00371989825703526
-6.56666666666667,0.00111605744628371
-6.53333333333333,-0.00106916651331592
-6.5,0.00381939312348814
-6.46666666666667,0.0128639780921577
-6.43333333333333,0.00649971285514425
-6.4,-0.00143517148586697
-6.36666666666667,0.00180170216407217
-6.33333333333333,0.000776737214453725
-6.3,-6.39450696577638e-05
-6.26666666666667,0.00469433160574578
-6.23333333333333,0.00460388225654444
-6.2,0.00235971564668152
-6.16666666666667,0.00414784304318043
-6.13333333333333,0.00281914404082394
-6.1,0.00456043513869218
-6.06666666666667,0.0054813119144337
-6.03333333333333,0.00656414479064006
-6,0.00156538688303264
-5.96666666666667,0.0015061211588319
-5.93333333333333,0.00406526457384936
-5.9,0.00658582196439907
-5.86666666666667,0.00418020000403685
-5.83333333333333,0.0049517448822067
-5.8,0.00600822235045099
