Probe,P1,P2,P3,P4,P5,P6,P7,P8
P1,1,0.0273034752558578,-0.0414700957862014,0.168929090070599,0.0382844039572263,0.0415967323112758,-0.0317938955035136,0.092199620932901
P2,0.0273034752558578,1,0.0145804734252914,0.113192502626357,0.00115972231157161,-0.0694159925068569,0.0255129994666072,0.0811024676989184
P3,-0.0414700957862014,0.0145804734252914,1,0.092756679364457,-0.0120230823128231,-0.0790595101481635,0.175829925787818,0.00354317050781212
P4,0.168929090070599,0.113192502626357,0.092756679364457,1,0.166424205738858,0.098847061349827,0.106758871539492,0.0102863005015987
P5,0.0382844039572263,0.00115972231157161,-0.0120230823128231,0.166424205738858,1,0.223443374525311,-0.00448789783446786,-0.0308301131204027
P6,0.0415967323112758,-0.0694159925068569,-0.0790595101481635,0.098847061349827,0.223443374525311,1,0.0554209278281477,-0.0647272930477634
P7,-0.0317938955035136,0.0255129994666072,0.175829925787818,0.106758871539492,-0.00448789783446786,0.0554209278281477,1,-0.00094848504057395
P8,0.092199620932901,0.0811024676989184,0.00354317050781212,0.0102863005015987,-0.0308301131204027,-0.0647272930477634,-0.00094848504057395,1
